,Ticker,Company,Title,Date,Time,Participant Name,Participant Type,Participant Organization
68,GIII,"['G-III Apparel Group, Ltd. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.8,2020",2:48,Neal Nackman , Chief Financial Officer & Treasurer,"G-III Apparel Group, Ltd. "
69,GIII,"['G-III Apparel Group, Ltd. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.8,2020",2:48,Morris Goldfarb , Chairman & Chief Executive Officer,"G-III Apparel Group, Ltd. "
70,BF.B,['Brown-Forman Corporation '],(BF.B) CEO Lawson Whiting on Q2 2021 Results - Earnings Call Transcript,"Dec.8,2020",2:08,Lawson Whiting , President and CEO,Brown-Forman Corporation 
71,BF.B,['Brown-Forman Corporation '],(BF.B) CEO Lawson Whiting on Q2 2021 Results - Earnings Call Transcript,"Dec.8,2020",2:08,Jane Morreau , EVP and CFO,Brown-Forman Corporation 
72,BF.B,['Brown-Forman Corporation '],(BF.B) CEO Lawson Whiting on Q2 2021 Results - Earnings Call Transcript,"Dec.8,2020",2:08,Leanne Cunningham ," SVP, Shareholder Relations Officer",Brown-Forman Corporation 
73,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Jonathan Vaas ," Associate General Counsel and Vice President, Investor Relations",Adobe Inc. 
74,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Shantanu Narayen ," Chairman, President and Chief Executive Officer",Adobe Inc. 
75,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Abhay Parasnis ," Chief Technology Officer and Chief Product Officer, Document Cloud",Adobe Inc. 
76,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Scott Belsky ," Chief Product Officer and Executive Vice President, Creative Cloud",Adobe Inc. 
77,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Anil Chakravarthy ," Executive Vice President and General Manager, Digital Experience Business and Worldwide Field Operations",Adobe Inc. 
78,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,Gloria Chen ," Chief People Officer and Executive Vice President, Employee Experience",Adobe Inc. 
79,ADBE,['Adobe Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.10,2020",3:15PM,John Murphy , Executive Vice President and Chief Financial Officer,Adobe Inc. 
80,HOFT,['Hooker Furniture Corporation '],(HOFT) CEO Paul Toms on Q3 2021 Results - Earnings Call Transcript,"Dec.10,2020",2:04PM,Paul Huckfeldt ," VP, Finance and CFO",Hooker Furniture Corporation 
81,HOFT,['Hooker Furniture Corporation '],(HOFT) CEO Paul Toms on Q3 2021 Results - Earnings Call Transcript,"Dec.10,2020",2:04PM,Paul Toms , Chairman and CEO,Hooker Furniture Corporation 
82,HOFT,['Hooker Furniture Corporation '],(HOFT) CEO Paul Toms on Q3 2021 Results - Earnings Call Transcript,"Dec.10,2020",2:04PM,Jeremy Hoff ," President, Hooker Legacy Brands",Hooker Furniture Corporation 
83,HOFT,['Hooker Furniture Corporation '],(HOFT) CEO Paul Toms on Q3 2021 Results - Earnings Call Transcript,"Dec.10,2020",2:04PM,Lee Boone ," President, Home Meridian Division",Hooker Furniture Corporation 
84,ISSC,"['Innovative Solutions and Support, Inc. ']"," and Support, Inc. (ISSC) CEO Geoffrey Hedrick on Q4 2020 Results - Earnings Call Transcript","Dec.10,2020",1:06PM,Geoffrey Hedrick , Chairman & CEO,"Innovative Solutions and Support, Inc. "
85,ISSC,"['Innovative Solutions and Support, Inc. ']"," and Support, Inc. (ISSC) CEO Geoffrey Hedrick on Q4 2020 Results - Earnings Call Transcript","Dec.10,2020",1:06PM,Shahram Askarpour , President,"Innovative Solutions and Support, Inc. "
86,ISSC,"['Innovative Solutions and Support, Inc. ']"," and Support, Inc. (ISSC) CEO Geoffrey Hedrick on Q4 2020 Results - Earnings Call Transcript","Dec.10,2020",1:06PM,Relland Winand , CFO,"Innovative Solutions and Support, Inc. "
87,FLR,['Fluor Corporation '],(FLR) CEO Carlos Hernandez on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202012:54",PMET,Jason Landkamer ," Director, IR",Fluor Corporation 
88,FLR,['Fluor Corporation '],(FLR) CEO Carlos Hernandez on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202012:54",PMET,Alan Boeckmann , Executive Chairman,Fluor Corporation 
89,FLR,['Fluor Corporation '],(FLR) CEO Carlos Hernandez on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202012:54",PMET,Carlos Hernandez , CEO,Fluor Corporation 
90,FLR,['Fluor Corporation '],(FLR) CEO Carlos Hernandez on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202012:54",PMET,Joe Brennan , CFO,Fluor Corporation 
91,SSYS,['Stratasys Ltd. '],erence Call (Transcript),"Dec.10,202011:50",AMET,Yonah Lloyd ," VP, IR",Stratasys Ltd. 
92,SSYS,['Stratasys Ltd. '],erence Call (Transcript),"Dec.10,202011:50",AMET,Yoav Zeif , CEO,Stratasys Ltd. 
93,SSYS,['Stratasys Ltd. '],erence Call (Transcript),"Dec.10,202011:50",AMET,Lilach Payorski , CFO,Stratasys Ltd. 
94,SSYS,['Stratasys Ltd. '],erence Call (Transcript),"Dec.10,202011:50",AMET,Chris Prucha ," CEO, Origin",Stratasys Ltd. 
95,DITHF,['DS Smith Plc '],Q2 2021 Results - Earnings Call Transcript,"Dec.10,202011:39",AMET,Miles Roberts , Group Chief Executive,DS Smith Plc 
96,DITHF,['DS Smith Plc '],Q2 2021 Results - Earnings Call Transcript,"Dec.10,202011:39",AMET,Adrian Marsh , Group Finance Director,DS Smith Plc 
97,LEE,"['Lee Enterprises, Incorporated ']",Q4 2020 Results - Earnings Call Transcript,"Dec.10,202011:22",AMET,Timothy Millage ," VP, CFO & Treasurer","Lee Enterprises, Incorporated "
98,LEE,"['Lee Enterprises, Incorporated ']",Q4 2020 Results - Earnings Call Transcript,"Dec.10,202011:22",AMET,Kevin Mowbray , President & CEO,"Lee Enterprises, Incorporated "
99,LEE,"['Lee Enterprises, Incorporated ']",Q4 2020 Results - Earnings Call Transcript,"Dec.10,202011:22",AMET,Nathan Bekke ," Vice President, Consumer Sales and Marketing","Lee Enterprises, Incorporated "
100,CBKC,['Christopher & Banks Corporation '],(CBKC) CEO Keri Jones on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202010:50",AMET,Jean Fontana , Investor Relations,Christopher & Banks Corporation 
101,CBKC,['Christopher & Banks Corporation '],(CBKC) CEO Keri Jones on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202010:50",AMET,Keri Jones , President and Chief Executive Officer,Christopher & Banks Corporation 
102,CBKC,['Christopher & Banks Corporation '],(CBKC) CEO Keri Jones on Q3 2020 Results - Earnings Call Transcript,"Dec.10,202010:50",AMET,Richard Bundy , Chief Financial Officer,Christopher & Banks Corporation 
103,VZ,['Verizon Communications Inc. '],"Communications Inc. (VZ) Presents at Barclays Global Technology, Media and Telecommunications Conference (Transcript)","Dec.10,202010:36",AMET,Matthew Ellis , Executive Vice President and Chief Financial Officer,Verizon Communications Inc. 
104,TUIFF,['TUI AG '],Q1 2021 Results - Earnings Call Transcript,"Dec.10,202010:10",AMET,Friedrich Joussen , CEO,TUI AG 
105,TUIFF,['TUI AG '],Q1 2021 Results - Earnings Call Transcript,"Dec.10,202010:10",AMET,Sebastian Ebel , CFO,TUI AG 
106,TUIFF,['TUI AG '],Q1 2021 Results - Earnings Call Transcript,"Dec.10,202010:10",AMET,Birgit Conix , CFO,TUI AG 
107,GRPN,"['Groupon, Inc. ']"," Inc. (GRPN) CEO Aaron Cooper Presents at Barclays Global Technology, Media and Telecommunications Conference (Transcript)","Dec.10,202010:07",AMET,Aaron Cooper , Interim Chief Executive Officer,"Groupon, Inc. "
108,JILL,"['J.Jill, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.10,2020",9:58AM,Jim Scully , Interim CEI,"J.Jill, Inc. "
109,JILL,"['J.Jill, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.10,2020",9:58AM,Mark Webb , EVP & CFO,"J.Jill, Inc. "
110,RH,"[""RH's ""]",Q3 2020 Results - Earnings Call Transcript,"Dec.10,2020",4:38AM,Allison Malkin ," ICR, IR",RH 
111,RH,"[""RH's ""]",Q3 2020 Results - Earnings Call Transcript,"Dec.10,2020",4:38AM,Gary Friedman , Chairman and CEO,RH 
112,RH,"[""RH's ""]",Q3 2020 Results - Earnings Call Transcript,"Dec.10,2020",4:38AM,Jack Preston , Chief Financial Officer,RH 
113,CMTL,['Comtech Telecommunications Corp. '], Corp. (CMTL) CEO Fred Kornberg on Q1 2021 Results - Earnings Call Transcript,"Dec.10,202012:16",AMET,Jason DiLorenzo , IR,Comtech Telecommunications Corp. 
114,CMTL,['Comtech Telecommunications Corp. '], Corp. (CMTL) CEO Fred Kornberg on Q1 2021 Results - Earnings Call Transcript,"Dec.10,202012:16",AMET,Fred Kornberg , Chairman and CEO,Comtech Telecommunications Corp. 
115,CMTL,['Comtech Telecommunications Corp. '], Corp. (CMTL) CEO Fred Kornberg on Q1 2021 Results - Earnings Call Transcript,"Dec.10,202012:16",AMET,Michael Porcelain , President and COO,Comtech Telecommunications Corp. 
116,CMTL,['Comtech Telecommunications Corp. '], Corp. (CMTL) CEO Fred Kornberg on Q1 2021 Results - Earnings Call Transcript,"Dec.10,202012:16",AMET,Michael Bondi , CFO,Comtech Telecommunications Corp. 
117,ENZ,"['Enzo Biochem, Inc. ']","zo Biochem, Inc. (ENZ) Q1 2021 Results - Earnings Call Transcript","Dec.10,202012:14",AMET,Jeremy Feffer , LifeSci Advisors,"Enzo Biochem, Inc. "
118,ENZ,"['Enzo Biochem, Inc. ']","zo Biochem, Inc. (ENZ) Q1 2021 Results - Earnings Call Transcript","Dec.10,202012:14",AMET,Barry Weiner , Co-Founder and President,"Enzo Biochem, Inc. "
119,ENZ,"['Enzo Biochem, Inc. ']","zo Biochem, Inc. (ENZ) Q1 2021 Results - Earnings Call Transcript","Dec.10,202012:14",AMET,David Bench , Chief Financial Officer,"Enzo Biochem, Inc. "
120,MESA,"[""Mesa Air Group, Inc.'s ""]",than Ornstein on Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",11:12PM,Jonathan Ornstein , Chairman and CEO,"Mesa Air Group, Inc. "
121,MESA,"[""Mesa Air Group, Inc.'s ""]",than Ornstein on Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",11:12PM,Mike Lotz , President and CFO,"Mesa Air Group, Inc. "
122,MESA,"[""Mesa Air Group, Inc.'s ""]",than Ornstein on Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",11:12PM,Brian Gillman , Executive VP and General Counsel,"Mesa Air Group, Inc. "
123,MESA,"[""Mesa Air Group, Inc.'s ""]",than Ornstein on Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",11:12PM,Brad Rich , Chief Operating Officer,"Mesa Air Group, Inc. "
